id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26785,Rental unit in Brooklyn · ★4.93 · 1 bedroom · 1 bed · 1 bath,42273,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90,30,479,31/05/2022,2.97,3,96,0,
27883,Rental unit in New York · ★4.85 · Studio · 2 beds · 1 bath,120223,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100,30,25,10/12/2011,0.16,1,0,0,
28907,Rental unit in New York · ★4.95 · 1 bedroom · 2 beds · 1 bath,124352,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150,30,21,15/08/2017,0.13,1,240,0,
29013,Rental unit in Brooklyn · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,90,30,73,20/07/2023,0.46,5,313,3,
29628,Condo in Brooklyn · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,127608,Chris,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,94,3,374,15/08/2023,2.32,1,129,49,
29683,Rental unit in New York · ★4.76 · 1 bedroom · 1 bed · 1 bath,125857,Uli,Manhattan,Lower East Side,40.72314,-73.99108,Entire home/apt,235,30,119,25/02/2023,0.74,2,324,1,
31130,Condo in New York · ★4.88 · 1 bedroom · 1 bed · 1 private bath,117287,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Private room,200,30,76,01/07/2023,0.47,3,263,8,
31555,Rental unit in New York · ★4.71 · Studio · 1 bed · 1 bath,135619,Tom,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,120,30,32,27/03/2021,0.21,1,0,0,
31902,Home in Brooklyn · ★4.33 · 3 bedrooms · 1 bed · 1 shared bath,137292,Sunder,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,80,30,4,14/10/2019,0.02,1,0,0,
31994,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed · 1 private bath,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,105,30,553,02/09/2023,3.45,2,334,38,
32037,Condo in Brooklyn · ★4.84 · 1 bedroom · 2 beds · 1.5 baths,116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,139,30,93,02/11/2022,0.58,3,364,1,
33009,Rental unit in Brooklyn · ★4.96 · 1 bedroom · 1 bed · 1 bath,143027,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,195,30,293,16/06/2023,1.83,1,126,9,
33156,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,128669,Alex,Manhattan,Upper West Side,40.78763,-73.96862,Entire home/apt,139,120,20,14/10/2020,0.13,1,68,0,
34760,Townhouse in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97378,Private room,69,30,30,31/01/2022,0.39,2,31,0,
36121,Rental unit in Brooklyn · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,62165,Michael,Brooklyn,Prospect Heights,40.67376,-73.96611,Private room,200,90,9,10/05/2013,0.06,1,362,0,
